IdxRow,IdxCol
16,01
16,02
16,03
16,04
16,05
16,06
16,07
16,08
16,09
16,10
16,11
16,12
16,13
16,14
15,13
15,12
15,11
15,10
15,09
15,08
15,07
15,06
15,05
15,04
15,03
15,02
15,01
14,01
14,02
14,03
14,04
14,05
14,06
14,07
14,08
14,09
14,10
14,11
14,12
14,13
14,14
13,14
13,13
13,12
13,11
13,10
13,09
13,08
13,07
13,06
13,05
13,04
13,03
13,02
13,01
12,01
12,02
12,03
12,04
12,05
12,06
12,07
12,08
12,09
12,10
12,11
12,12
12,13
12,14
11,14
11,13
11,12
11,11
11,10
11,09
11,08
11,07
11,06
11,05
11,04
11,03
11,02
11,01
10,01
10,02
10,03
10,04
10,05
10,06
10,07
10,08
10,09
10,10
10,11
10,12
10,13
10,14
9,14
9,13
9,12
9,11
9,10
9,09
9,08
9,07
9,06
9,05
9,04
9,03
9,02
9,01
8,01
8,02
8,03
8,04
8,05
8,06
8,07
8,08
8,09
8,10
8,11
8,12
8,13
8,14
7,14
7,13
7,12
7,11
7,10
7,09
7,08
7,07
7,06
7,05
7,04
7,03
7,02
7,01
6,01
6,02
6,03
6,04
6,05
6,06
6,07
6,08
6,09
6,10
6,11
6,12
6,13
6,14
5,14
5,13
5,12
5,11
5,10
5,09
5,08
5,07
5,06
5,05
5,04
5,03
5,02
5,01
4,01
4,02
4,03
4,04
4,05
4,06
4,07
4,08
4,09
4,10
4,11
4,12
4,13
4,14
3,14
3,13
3,12
3,11
3,10
3,09
3,08
3,07
3,06
3,05
3,04
3,03
3,02
3,01
2,01
2,02
2,03
2,04
2,05
2,06
2,07
2,08
2,09
2,10
2,11
2,12
2,13
2,14
1,14
1,13
1,12
1,11
1,10
1,09
1,08
1,07
1,06
1,05
1,04
1,03
1,02
1,01
1,17
2,17
3,17
4,17
5,17
6,17
7,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
14,24
14,23
14,22
15,22
15,21
15,20
15,19
15,18
14,18
14,19
14,20
14,21
13,21
13,20
13,19
13,18
12,18
12,19
12,20
12,21
12,22
13,22
12,23
12,24
10,24
10,23
10,22
11,22
11,21
11,20
11,19
11,18
10,18
10,19
10,20
10,21
9,21
9,20
9,19
9,18
8,18
8,19
8,20
8,21
8,22
9,22
8,23
8,24
6,24
6,23
6,22
7,22
7,21
7,20
7,19
7,18
6,18
6,19
6,20
6,21
5,21
5,20
5,19
5,18
4,18
4,19
4,20
4,21
4,22
5,22
4,23
4,24
2,24
2,23
2,22
3,22
3,21
3,20
3,19
3,18
2,18
2,19
2,20
2,21
1,21
1,20
1,19
1,18
1,22
